# rocket_logger v3.3 rate=100Hz accel=16G(2048/G) gyro=2000dps(16.4/dps) sound=A1
t_ms,ax,ay,az,gx,gy,gz,snd
8710,-1347,-1496,-241,18,26,-17,513
8720,-1345,-1476,-245,14,22,-17,516
8730,-1361,-1472,-261,16,16,-25,514
8740,-1333,-1484,-266,15,18,-20,512
8750,-1349,-1484,-257,13,23,-21,515
8760,-1370,-1489,-257,11,24,-17,510
8770,-1349,-1478,-246,6,23,-14,512
8780,-1360,-1484,-245,18,24,-16,512
8790,-1369,-1480,-240,15,26,-20,507
8800,-1350,-1478,-249,17,18,-20,513
8810,-1360,-1471,-248,16,20,-18,514
8820,-1345,-1476,-224,11,17,-18,512
8830,-1345,-1478,-255,15,25,-17,510
8840,-1379,-1488,-261,16,5,-21,508
8850,-1347,-1487,-258,12,17,-21,510
8866,-1349,-1486,-236,6,23,-17,502
8870,-1356,-1495,-240,14,27,-13,496
8880,-1348,-1486,-250,13,24,-17,526
8890,-1353,-1488,-242,15,15,-26,518
8900,-1354,-1485,-233,12,23,-16,514
8910,-1349,-1480,-244,14,17,-13,502
8920,-1359,-1494,-234,17,11,-20,494
8930,-1345,-1481,-234,15,24,-18,511
8940,-1348,-1476,-249,12,28,-23,514
8950,-1350,-1478,-261,16,16,-14,503
8960,-1364,-1480,-253,15,28,-19,518
8970,-1351,-1485,-268,19,20,-20,512
8980,-1340,-1496,-256,13,18,-21,512
8990,-1343,-1489,-268,4,32,-20,513
9000,-1362,-1489,-258,14,19,-17,508
9010,-1365,-1488,-255,15,25,-16,510
9020,-1349,-1479,-247,10,24,-18,510
9030,-1362,-1482,-268,10,17,-19,512
9040,-1338,-1490,-250,14,18,-18,509
9050,-1349,-1482,-254,17,24,-21,511
9060,-1350,-1480,-247,14,25,-19,509
9070,-1346,-1486,-260,14,16,-15,508
9080,-1340,-1478,-242,14,32,-20,507
9090,-1334,-1491,-280,13,29,-13,508
9100,-1406,-1486,-213,17,12,-17,530
9110,-1439,-1415,-356,-6,27,-8,532
9120,-3399,-881,-2264,3,-55,-464,676
9131,-10581,-5122,-1834,387,-658,-2365,764
9140,-32768,3444,-3918,-816,-880,-5787,764
9150,-32768,1126,-4022,-310,-1119,-4103,195
9160,-32768,-9401,-5791,75,-1200,-3699,613
9170,-32768,-5635,-3213,299,-1872,-3533,764
9180,-32768,6563,-2477,306,-3103,-916,764
9190,-32768,-687,-1801,360,-3260,1666,764
9200,-32768,-2363,-1330,144,-4519,2367,26
9210,-19692,-1274,-1379,160,-5041,2608,713
9220,-5306,-1352,-853,661,-4834,3564,269
9230,3796,316,10,46,-5408,3232,384
