# rocket_logger v3.3 rate=100Hz accel=16G(2048/G) gyro=2000dps(16.4/dps) sound=A1
t_ms,ax,ay,az,gx,gy,gz,snd
5347,-1356,-1491,-240,13,20,-15,508
5350,-1338,-1478,-241,12,21,-23,510
5352,-1344,-1479,-257,9,22,-14,514
5354,-1350,-1482,-250,15,11,-22,507
5357,-1364,-1484,-262,12,20,-18,507
5359,-1365,-1486,-240,11,24,-21,506
5362,-1372,-1480,-260,13,21,-14,515
5364,-1344,-1486,-262,13,22,-19,504
5366,-1350,-1479,-240,16,25,-15,508
5369,-1339,-1476,-237,7,22,-19,515
5371,-1358,-1493,-266,15,11,-14,504
5373,-1355,-1499,-247,11,15,-22,509
5377,-1355,-1479,-248,15,28,-24,507
5379,-1349,-1487,-267,14,14,-18,504
5385,-1350,-1469,-249,17,19,-17,509
5388,-1348,-1486,-245,13,22,-20,505
5390,-1349,-1478,-262,10,20,-20,512
5392,-1368,-1488,-238,18,14,-15,505
5395,-1361,-1481,-234,14,13,-18,508
5397,-1351,-1483,-257,17,23,-22,508
5400,-1361,-1492,-271,10,20,-17,513
5402,-1345,-1499,-235,12,20,-22,508
5404,-1357,-1475,-251,15,16,-18,507
5407,-1352,-1476,-251,10,11,-18,508
5409,-1353,-1488,-242,10,21,-20,511
5412,-1347,-1496,-240,16,18,-15,513
5414,-1353,-1488,-253,14,12,-23,510
5416,-1348,-1492,-269,13,11,-19,511
5423,-1350,-1485,-251,15,22,-17,516
5426,-1351,-1482,-251,10,16,-21,513
5428,-1355,-1478,-230,14,24,-14,511
5430,-1357,-1488,-265,13,21,-14,505
5433,-1348,-1474,-239,10,24,-27,508
5435,-1345,-1485,-242,11,23,-20,514
5438,-1344,-1485,-236,14,30,-15,514
5440,-1364,-1490,-234,14,17,-22,510
5442,-1357,-1480,-259,12,24,-16,514
5445,-1357,-1477,-229,9,6,-16,508
5447,-1353,-1470,-238,13,29,-20,507
5449,-1349,-1481,-250,8,16,-16,511
5452,-1356,-1488,-251,16,13,-22,516
5454,-1359,-1482,-249,18,24,-21,506
5460,-1361,-1495,-242,13,22,-13,511
5464,-1349,-1480,-244,13,20,-18,517
5466,-1364,-1475,-244,14,5,-21,507
5468,-1341,-1479,-249,11,15,-21,509
5471,-1352,-1481,-250,15,22,-16,511
5473,-1356,-1486,-231,16,9,-17,514
5475,-1343,-1477,-241,12,18,-20,506
5478,-1359,-1485,-250,11,20,-18,510
5480,-1340,-1478,-256,13,17,-16,511
5483,-1348,-1486,-262,10,15,-16,508
5485,-1351,-1500,-257,14,25,-16,511
5487,-1348,-1489,-262,14,11,-20,510
5490,-1359,-1492,-254,11,22,-24,512
5492,-1355,-1492,-250,12,13,-23,515
5498,-1366,-1481,-260,11,12,-23,508
5501,-1334,-1482,-252,11,24,-20,505
5504,-1344,-1485,-239,15,18,-21,507
5506,-1350,-1477,-253,14,25,-20,508
5509,-1348,-1481,-261,10,23,-20,512
5511,-1348,-1494,-242,14,15,-20,513
5513,-1351,-1494,-242,17,16,-19,506
5516,-1350,-1489,-251,14,17,-17,501
5518,-1352,-1479,-248,16,18,-23,512
5521,-1358,-1497,-254,18,17,-20,512
5523,-1365,-1485,-246,14,16,-25,513
5525,-1360,-1482,-243,14,16,-21,511
5528,-1342,-1475,-258,13,21,-23,501
5530,-1350,-1477,-236,16,18,-18,511
5536,-1353,-1488,-248,19,10,-16,515
5539,-1359,-1482,-249,15,26,-16,510
5541,-1355,-1480,-246,9,23,-12,510
5543,-1362,-1489,-247,13,18,-14,513
5547,-1365,-1487,-255,14,15,-24,509
5549,-1361,-1490,-239,13,22,-20,509
5551,-1351,-1483,-237,21,16,-24,515
5554,-1349,-1468,-252,15,19,-24,510
5556,-1355,-1484,-246,9,23,-18,505
5559,-1363,-1483,-243,19,18,-20,506
5561,-1345,-1475,-247,16,28,-17,511
5563,-1348,-1475,-234,10,18,-21,507
5566,-1355,-1481,-228,12,26,-20,511
5568,-1349,-1492,-250,17,13,-24,517
5574,-1345,-1489,-258,17,27,-17,515
5588,-1351,-1489,-268,13,17,-21,514
5595,-1357,-1481,-257,16,18,-20,507
5597,-1350,-1488,-243,5,20,-15,509
5599,-1336,-1497,-248,15,14,-15,509
5602,-1348,-1497,-250,16,17,-16,505
5604,-1357,-1474,-253,15,23,-19,508
5607,-1351,-1481,-259,12,19,-17,503
5609,-1359,-1483,-242,13,16,-20,505
5611,-1341,-1481,-258,14,13,-20,508
5614,-1356,-1493,-244,17,7,-22,510
5616,-1353,-1481,-241,16,29,-21,515
5618,-1350,-1498,-234,13,26,-17,513
5621,-1363,-1482,-262,11,16,-23,516
5627,-1360,-1492,-245,6,13,-23,512
5629,-1362,-1482,-238,13,18,-20,513
5633,-1347,-1494,-225,10,14,-23,507
5635,-1338,-1498,-249,11,32,-13,513
5637,-1352,-1481,-248,7,20,-19,512
5640,-1359,-1488,-242,12,13,-22,506
5642,-1342,-1485,-266,14,21,-15,507
5645,-1347,-1481,-243,12,22,-23,507
5647,-1351,-1490,-254,9,25,-23,512
5649,-1348,-1481,-254,18,13,-22,515
5652,-1351,-1494,-265,13,15,-19,515
5654,-1368,-1492,-244,14,20,-21,512
5656,-1359,-1479,-238,13,18,-20,505
5659,-1349,-1483,-251,12,19,-14,507
5665,-1366,-1490,-259,18,11,-15,507
5667,-1352,-1486,-245,12,19,-26,504
5670,-1350,-1483,-244,17,21,-7,509
5672,-1340,-1490,-252,12,15,-25,515
5675,-1349,-1486,-250,13,30,-18,512
5678,-1355,-1476,-257,12,15,-14,510
5680,-1367,-1490,-248,14,15,-20,516
5683,-1352,-1489,-245,8,12,-14,514
5685,-1348,-1489,-242,13,17,-14,511
5687,-1349,-1477,-256,10,20,-24,514
5690,-1355,-1493,-247,17,20,-15,509
5692,-1354,-1490,-266,19,22,-22,508
5694,-1342,-1497,-257,10,20,-23,502
5701,-1361,-1489,-240,9,13,-14,510
5703,-1354,-1478,-253,19,14,-20,507
5705,-1347,-1490,-235,14,10,-18,510
5708,-1361,-1488,-234,14,19,-23,505
5710,-1356,-1484,-262,14,15,-20,506
5712,-1352,-1475,-252,13,17,-14,510
5715,-1345,-1483,-258,12,27,-18,509
5718,-1354,-1484,-239,16,16,-20,508
5721,-1354,-1471,-233,14,24,-22,508
5723,-1351,-1482,-243,14,15,-15,522
5725,-1358,-1494,-244,14,19,-23,505
5728,-1363,-1493,-254,11,22,-12,510
5730,-1345,-1475,-248,12,23,-22,520
5732,-1359,-1475,-255,13,13,-14,522
5738,-1355,-1485,-247,13,16,-10,520
5741,-1345,-1485,-236,12,13,-23,506
5743,-1353,-1484,-258,17,24,-16,518
5746,-1365,-1488,-248,18,16,-23,504
5748,-1355,-1493,-245,16,20,-19,502
5750,-1360,-1473,-249,14,27,-22,522
5753,-1368,-1486,-230,10,17,-19,515
5755,-1342,-1486,-259,16,29,-15,505
5758,-1359,-1483,-264,15,12,-17,500
5761,-1356,-1483,-237,12,20,-21,516
5763,-1350,-1486,-230,16,27,-16,514
5766,-1354,-1497,-239,20,19,-17,495
5768,-1354,-1487,-257,15,24,-18,517
5770,-1361,-1482,-251,15,12,-20,513
5777,-1349,-1479,-254,14,19,-14,506
5779,-1359,-1484,-245,9,23,-19,489
5781,-1359,-1485,-233,12,21,-23,508
5784,-1358,-1486,-249,13,19,-12,518
5786,-1361,-1497,-259,14,14,-21,494
5788,-1351,-1478,-256,11,22,-18,502
5791,-1364,-1478,-256,13,12,-18,525
5793,-1365,-1497,-246,10,14,-14,521
5796,-1350,-1478,-257,16,21,-20,504
5798,-1350,-1484,-247,12,21,-19,519
5800,-1349,-1493,-237,18,16,-16,513
5804,-1359,-1474,-243,9,3,-13,503
5806,-1355,-1480,-235,13,31,-15,494
5808,-1350,-1493,-255,14,16,-21,516
5825,-1351,-1478,-245,11,20,-15,500
5828,-1355,-1480,-244,9,19,-21,516
5830,-1347,-1493,-245,15,11,-11,511
5833,-1354,-1479,-255,16,19,-23,505
5835,-1365,-1486,-253,13,17,-13,494
5837,-1353,-1492,-253,10,23,-18,524
5840,-1357,-1481,-260,17,18,-26,506
5842,-1338,-1485,-238,14,17,-19,514
5844,-1359,-1478,-256,13,18,-19,488
5848,-1370,-1482,-239,13,7,-13,522
5850,-1351,-1492,-256,15,20,-23,513
5853,-1354,-1489,-238,8,22,-17,523
5855,-1344,-1483,-236,19,13,-23,493
5857,-1358,-1479,-266,11,23,-14,523
5863,-1335,-1485,-245,14,16,-18,533
5866,-1357,-1501,-255,11,21,-17,504
5868,-1345,-1485,-258,14,22,-22,497
5870,-1344,-1487,-250,12,22,-19,504
5873,-1358,-1488,-247,14,24,-22,507
5875,-1354,-1478,-255,12,17,-18,516
5877,-1360,-1477,-254,11,22,-21,506
5880,-1359,-1489,-270,20,17,-22,506
5882,-1365,-1470,-241,14,19,-12,516
5885,-1353,-1495,-259,17,20,-19,534
5888,-1340,-1487,-230,11,22,-19,519
5890,-1354,-1491,-250,11,20,-14,508
5893,-1344,-1481,-261,19,20,-18,518
5895,-1360,-1481,-249,14,16,-22,522
5901,-1349,-1489,-252,14,18,-20,522
5903,-1358,-1482,-249,12,20,-20,490
5906,-1350,-1487,-230,16,8,-19,492
5908,-1348,-1482,-252,14,26,-17,519
5911,-1366,-1490,-244,17,23,-18,504
