# rocket_logger v3.6 wait=10Hz fly=100Hz accel=16G(2048/G) gyro=2000dps(16.4/dps) sound=A1 boot=6
t_ms,ax,ay,az,gx,gy,gz,snd_min,snd_max
36034,1117,-3641,-1722,9307,-3714,-809,25,762
36044,1145,-3664,-2570,9408,-3736,-965,24,762
36054,1389,-3202,-2662,9596,-3703,-1012,24,761
36064,1329,-2630,-2515,9681,-3637,-1032,23,762
36078,1419,-2009,-2183,9414,-3650,-1032,760,760
36085,1206,-1814,-2597,9234,-3674,-986,25,25
36094,1294,-1646,-2894,8923,-3658,-935,24,762
36104,1442,-1539,-3401,8706,-3614,-861,24,762
36114,1498,-1377,-3260,8357,-3500,-783,24,761
36124,1439,-1373,-3822,7823,-3288,-683,24,762
36134,1581,-1212,-3780,7150,-3011,-707,25,761
36144,1637,-1231,-3614,6548,-2702,-732,24,762
36154,1401,-1199,-3556,5993,-2303,-762,24,762
36164,1686,-1055,-3881,5273,-1892,-747,25,762
36174,1654,-716,-3345,4595,-1477,-698,24,762
36184,1374,-685,-3204,3843,-1078,-682,24,762
36194,1462,-832,-2878,3108,-663,-711,24,761
36204,1546,-714,-2097,2407,-254,-713,24,762
36214,1430,-838,-1796,1800,45,-736,24,761
36224,1230,-950,-1720,1511,230,-740,24,761
36234,1273,-1121,-1684,1350,385,-721,24,762
36244,1083,-1021,-1202,1152,495,-682,24,762
36254,1009,-880,-695,1004,563,-659,24,761
36264,919,-804,-640,833,606,-666,24,762
36274,870,-822,-378,741,607,-666,214,761
36284,735,-743,-339,669,602,-650,25,762
36294,971,-228,-21,420,521,-617,25,762
36304,801,-544,208,578,440,-608,189,762
36314,597,-637,244,693,318,-546,24,762
36324,679,-529,385,938,129,-450,28,762
36334,664,-243,398,1130,-29,-336,88,762
36344,707,-96,262,1249,-224,-224,157,762
36354,621,15,337,1338,-372,-131,24,761
36364,647,93,402,1401,-518,-29,25,762
36374,738,49,30,1477,-653,70,24,762
36384,663,28,14,1484,-776,162,78,762
36395,781,14,122,1525,-879,251,281,761
36404,753,-31,117,1609,-962,338,177,761
36414,761,-31,-306,1651,-1046,417,173,762
36424,863,43,-293,1655,-1080,481,24,761
36434,860,11,-363,1606,-1075,547,24,762
36444,891,-29,-417,1588,-1064,593,45,762
36454,833,-122,-672,1519,-1012,629,132,762
36464,901,-174,-696,1465,-934,646,202,761
36474,899,-196,-599,1442,-859,650,154,761
36484,974,-206,-641,1411,-784,673,84,761
36494,863,-276,-893,1384,-717,669,193,762
36504,772,-178,-669,1332,-666,678,229,762
36514,785,-221,-904,1317,-581,676,237,761
36524,788,-242,-951,1248,-513,685,50,749
36534,1042,-241,-954,1147,-386,705,25,761
36544,915,-292,-788,1112,-236,709,24,761
36554,898,-382,-909,1108,-88,730,165,761
36564,914,-312,-654,1098,19,766,30,761
36578,658,-455,-495,1180,62,791,352,352
36585,679,-384,-155,1150,56,802,372,372
36594,632,-366,49,1129,31,831,25,761
36604,706,-377,106,1029,-7,853,27,762
36614,611,-482,-37,951,-37,852,159,762
36624,598,-551,13,859,-62,841,25,762
36634,602,-688,9,870,-96,847,24,762
36644,554,-761,117,986,-148,841,202,761
36676,422,-483,202,1177,-422,857,444,444
36679,519,-500,157,1164,-427,865,305,305
36681,518,-441,140,1141,-465,870,608,608
36684,580,-433,234,1116,-485,878,529,529
36694,581,-499,-13,1070,-537,885,161,761
36704,570,-543,-22,1029,-591,912,147,761
36714,548,-687,142,1024,-596,935,63,761
36724,660,-774,-192,1114,-618,936,24,761
36734,644,-868,60,1232,-602,937,24,761
36744,555,-817,59,1278,-627,917,98,761
36754,487,-756,127,1275,-645,889,24,761
36764,435,-674,228,1279,-696,854,24,762
36774,478,-601,181,1214,-770,829,62,761
36784,525,-573,89,1185,-835,815,66,761
36794,499,-558,191,1168,-889,815,25,761
36804,435,-643,-129,1141,-969,831,24,761
36814,571,-627,-320,1121,-970,822,28,761
36824,594,-642,-352,1118,-972,810,49,761
36834,557,-599,-363,1071,-968,811,128,761
36844,586,-597,-374,1055,-914,785,25,761
36854,667,-552,-365,1047,-870,773,25,761
36864,567,-647,-437,1035,-847,764,154,761
36874,605,-636,-555,1009,-802,752,24,761
36884,602,-604,-487,1043,-762,736,51,761
36894,637,-507,-637,987,-739,727,181,761
36904,668,-377,-692,971,-685,704,280,761
36914,654,-224,-572,862,-614,694,32,761
36924,697,-267,-485,679,-560,697,279,761
36934,653,-352,-526,563,-471,716,103,762
36944,662,-440,-665,493,-400,720,64,761
36954,646,-549,-565,487,-332,730,25,761
36964,622,-571,-611,554,-240,724,33,761
36974,703,-589,-558,589,-167,710,117,761
36984,639,-692,-422,641,-94,718,75,761
36994,594,-795,-142,795,-81,761,25,761
37004,448,-961,-176,1013,-136,794,42,761
37014,446,-1072,-304,1343,-178,788,95,762
37024,470,-896,-57,1539,-236,761,231,763
37035,455,-636,194,1591,-299,720,24,761
37044,456,-494,249,1566,-350,701,80,761
37054,412,-452,193,1563,-384,692,173,757
37064,416,-444,231,1537,-477,705,272,761
37088,435,-381,176,1413,-675,782,582,582
37095,463,-402,275,1342,-745,790,402,402
37098,450,-358,263,1309,-743,793,484,484
37104,414,-484,182,1277,-763,782,111,707
37114,364,-643,130,1254,-822,747,25,761
37124,507,-646,-83,1294,-866,712,128,761
37134,505,-551,32,1353,-884,686,24,761
37144,568,-486,-99,1360,-868,679,237,761
37154,500,-417,-183,1337,-879,693,239,761
37164,517,-411,-37,1306,-844,702,196,660
37174,488,-461,-180,1183,-832,715,179,761
37184,497,-488,-147,1140,-809,693,175,761
37194,479,-544,-84,1134,-801,681,224,762
37204,511,-541,-151,1130,-806,674,43,761
37214,462,-501,-50,1151,-808,654,26,761
37224,481,-478,-174,1162,-809,652,55,761
37234,473,-319,-185,1091,-824,637,25,761
37244,535,-176,-177,1012,-789,621,203,761
37254,498,-239,-258,937,-770,623,244,728
37264,502,-215,-303,878,-746,634,299,743
37274,544,-292,-380,879,-697,653,128,761
37284,535,-341,-487,910,-685,669,200,761
37294,546,-291,-447,909,-654,682,304,672
37304,564,-230,-570,873,-622,703,45,761
37314,552,-249,-654,794,-574,689,80,761
37324,624,-251,-700,713,-494,673,271,761
37334,678,-283,-717,637,-420,672,207,761
37344,576,-322,-746,609,-291,652,176,761
37354,644,-343,-721,604,-208,645,290,701
37364,626,-323,-664,631,-118,660,202,761
37374,537,-285,-597,650,-66,645,192,733
37384,588,-208,-492,647,-16,641,222,642
37394,508,-215,-475,616,13,623,375,761
37404,573,-182,-432,594,39,627,343,741
37414,511,-152,-375,550,103,621,212,761
37424,560,-119,-464,505,120,619,235,761
37434,549,-105,-431,463,162,625,249,761
37444,523,-119,-391,446,170,637,336,745
37454,552,-151,-407,478,195,656,261,761
37464,520,-254,-336,528,213,682,359,679
37474,537,-266,-381,607,233,713,327,761
37484,552,-231,-315,689,252,733,363,735
37494,589,-208,-257,717,242,761,360,761
37504,560,-120,-182,753,248,778,185,761
37514,462,-137,-121,757,251,779,252,620
37524,478,-65,32,754,231,771,247,761
37534,426,-76,13,765,183,784,278,761
37544,410,-81,38,697,118,817,264,761
37554,360,-18,-17,646,39,854,275,761
37564,471,-29,-39,522,-41,894,271,761
37577,539,-180,-235,408,-78,932,726,726
37584,521,-306,-372,378,-82,939,761,761
37594,526,-433,-439,385,-73,938,78,761
37604,533,-510,-481,433,-32,918,152,761
37614,576,-493,-518,465,29,906,158,761
37624,523,-451,-600,455,71,892,239,761
37634,486,-379,-471,419,110,862,75,761
37644,556,-439,-493,364,143,849,80,751
37654,554,-446,-407,318,170,836,192,761
37664,562,-516,-522,346,199,848,122,761
37675,576,-532,-445,383,219,841,294,761
37684,608,-531,-378,395,253,842,250,761
37694,562,-443,-256,354,280,839,213,699
37704,602,-415,-276,323,302,834,316,761
37714,496,-462,-294,276,304,821,123,761
37724,543,-488,-280,268,314,812,170,761
37734,616,-477,-269,279,298,804,85,761
37744,550,-529,-385,324,288,803,93,761
37754,527,-502,-242,315,255,801,117,761
37772,537,-435,-279,284,229,800,442,442
37775,466,-466,-349,265,241,803,430,430
37784,567,-513,-510,263,238,801,97,761
37794,611,-526,-290,234,260,807,24,761
37804,611,-518,-136,230,288,813,24,761
37814,583,-516,-31,218,292,808,147,761
37824,498,-545,71,260,292,798,144,761
37834,425,-520,88,316,219,777,246,761
37844,351,-566,101,446,119,761,25,761
37854,430,-557,239,556,10,772,224,761
37864,489,-414,266,655,-114,789,204,761
37874,471,-317,196,650,-224,827,24,761
37884,510,-281,85,618,-263,823,135,761
37894,551,-381,44,607,-282,818,244,761
37904,559,-514,-60,665,-302,841,82,761
37914,472,-642,-74,757,-346,879,26,761
37924,521,-534,-231,849,-392,887,82,761
37934,531,-512,-123,842,-437,878,266,761
37944,570,-422,-75,683,-460,861,132,761
37954,670,-500,-295,552,-447,830,24,761
37964,644,-633,-611,475,-401,796,217,761
37974,669,-743,-698,434,-369,786,33,761
37984,697,-708,-637,445,-288,776,294,761
37994,639,-650,-569,418,-202,741,24,761
38004,601,-632,-393,332,-141,711,69,761
38014,592,-721,-570,353,-74,660,24,761
38024,636,-616,-427,386,-49,648,24,761
38034,601,-519,-356,416,-49,639,64,761
38044,639,-480,-425,424,-49,652,24,761
38054,634,-410,-394,359,-52,677,25,761
38064,616,-532,-412,278,-58,701,25,761
38077,685,-704,-524,222,-13,712,760,760
38084,669,-741,-695,207,26,715,192,192
38094,640,-810,-521,248,67,682,24,761
38104,601,-884,-563,273,101,673,24,761
38114,716,-809,-801,232,124,652,24,761
38124,682,-829,-730,162,203,622,24,761
38134,741,-808,-839,117,277,598,24,761
38144,693,-807,-541,96,330,573,25,761
38154,781,-861,-663,122,400,566,24,762
38164,624,-943,-595,151,422,571,24,761
38174,725,-905,-421,136,453,573,103,761
38184,724,-880,-420,142,470,585,24,761
38194,689,-828,-369,141,499,563,24,761
38204,682,-821,-317,67,484,561,25,761
38214,660,-779,-417,46,505,538,25,761
38224,683,-735,-189,-11,502,534,24,761
38234,635,-830,-299,-12,478,527,25,761
38244,553,-919,-88,-6,419,540,24,761
38254,631,-1059,-144,119,334,568,24,761
38264,666,-1140,-237,252,255,594,25,761
38274,671,-1146,-216,350,179,595,251,762
38284,754,-1069,-244,348,118,580,24,761
38294,754,-1032,-309,298,125,565,24,761
38304,749,-1078,-343,313,182,549,24,761
38315,704,-1264,-358,386,213,528,24,761
38324,667,-1269,-404,476,209,520,24,761
38334,635,-1236,-33,577,175,472,24,761
38344,601,-1128,93,581,73,443,25,761
38354,538,-1079,-127,576,-17,406,24,761
38364,584,-1097,-47,650,-108,392,24,761
38374,574,-999,-353,734,-183,387,59,761
38384,844,-979,-393,799,-182,405,24,761
38394,883,-882,-209,844,-154,449,24,761
38404,758,-838,-356,784,-161,448,24,761
38414,759,-843,-400,655,-141,433,24,761
38424,842,-1007,-324,607,-164,404,25,761
38434,721,-1085,-429,589,-167,378,25,761
